"ATF3","ATF4","BHLHE40","CEBPB","CEBPD","DDIT3","E2F1","E2F8","ELF3","FOS","FOSB","FOSL2","GATA5","HES1","HMGA1","HMGA2","JUN","JUNB","JUND","KLF10","KLF4","KLF5","KLF6","MAFF","MAFG","MAFK","MYBL2","RBPJL","SOX11","SOX4","SOX9","YBX1","Attr_Size"
1,1,1,0,1,1,1,1,0.5,1,1,1,0.5,1,1,1,1,1,1,0,0,0,1,0,1,1,1,0,0,0,1,1,442
0.5,1,0.5,0,1,0.5,0.5,0.5,0.5,1,1,0.5,0.5,0.5,0,0,1,1,1,0,0,0,1,0,0,1,0.5,0,0,0,0.5,0,288
1,0.5,0.5,0.5,0.5,0.5,0,0,0.5,1,1,1,0.5,0.5,1,1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0,0.5,0.5,0,0.5,0,0.5,0.5,1,320
1,1,0,0,0,0.5,0.5,0.5,0.5,1,0.5,0.5,0.5,0,1,1,0,0,0,0,1,0,0,0,0,1,0.5,1,0,0,0,1,335
1,1,0.5,0.5,0.5,0.5,0.5,0.5,0,1,0.5,0.5,0,0,0,0,0,0.5,0,0.5,1,0,0,0,0,1,0.5,1,0,0.5,0,0,712
0.5,1,0.5,0,1,0.5,0.5,0.5,0,1,1,0.5,0,0.5,1,1,1,1,1,0,0,0,1,0,1,1,0.5,0,0,0,0.5,1,287
1,1,0,0,0,1,0,0,0.5,1,1,1,0.5,0,1,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,1094
1,1,0,0,0,0.5,0,0,0.5,1,0.5,0.5,0.5,0,1,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,1012
1,1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1,0.5,0.5,0.5,0,0,0,0,0.5,0,0.5,1,0,0,0,0,1,0.5,1,0,0.5,0,0,420
1,0.5,0.5,0.5,0.5,0.5,1,1,0,1,1,1,0,0.5,0,0,0.5,0.5,0.5,0.5,0.5,1,0.5,0,0,0.5,1,0.5,0,0.5,0.5,0,721
1,1,0,0,0,0.5,0.5,0.5,0,1,0.5,0.5,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0.5,1,0,0,0,1,1644
1,1,0.5,0.5,0.5,0.5,0,0,0.5,1,0.5,0.5,0.5,0,1,1,0,0.5,0,0.5,1,0,0,0,0,1,0,1,0,0.5,0,1,388
1,1,0,1,1,1,0,0,0.5,1,1,0,0.5,0,0,0,0,1,0,1,1,0,0,0,0,1,0,1,0.5,1,1,0,158
1,1,0.5,0.5,0.5,0.5,0,0,0,1,0.5,0.5,0,0,0,0,0,0.5,0,0.5,1,0,0,0,0,1,0,1,0,0.5,0,0,715
